,E0_anchor,E1_finance,E2_survey,E3_dx_text,E4_org_text,E6_manual,E4b_org_emb,E5_overview_emb,E3b_dx_emb,E5x_cross_sim
E0_anchor,0.9999999999999999,0.6538013405209673,0.1869136475652639,0.6396876428472215,0.21876807770304302,0.7731125345041926,0.3207499876884173,0.34793026102714275,0.647864913070386,0.18655792250454645
E1_finance,0.6538013405209674,1.0,-0.009025708339919032,0.3365607206931034,0.16042847862302032,0.36987819155752066,0.24400502477073563,0.31719213723355955,0.3462393358028516,0.09558903785483805
E2_survey,0.1869136475652639,-0.009025708339919034,0.9999999999999999,0.027124447122549234,-0.06456743252470602,-0.00889889860500699,-0.012416758022551117,-0.03806697298285788,0.006147243356228642,0.013901961556402007
E3_dx_text,0.6396876428472215,0.33656072069310344,0.027124447122549234,0.9999999999999999,0.02769974648787962,0.7321944001913689,0.004122753580452781,0.022978384885145232,0.934022489196834,0.20142540882422275
E4_org_text,0.21876807770304302,0.1604284786230203,-0.06456743252470602,0.02769974648787962,0.9999999999999999,0.24511737612495296,0.5519723346363513,0.4773967346818759,0.08939037375380014,0.0765003486531525
E6_manual,0.7731125345041926,0.3698781915575207,-0.00889889860500699,0.7321944001913689,0.24511737612495296,0.9999999999999999,0.3177759381840905,0.32591237786766797,0.742198205509535,0.2013095558399561
E4b_org_emb,0.3207499876884173,0.2440050247707356,-0.012416758022551117,0.004122753580452781,0.5519723346363513,0.3177759381840905,0.9999999999999999,0.7129208286584445,0.07781253644731508,0.11107914513951127
E5_overview_emb,0.34793026102714275,0.31719213723355955,-0.03806697298285788,0.022978384885145232,0.4773967346818759,0.32591237786766797,0.7129208286584445,0.9999999999999999,0.10082624415537629,0.13276909150477884
E3b_dx_emb,0.647864913070386,0.3462393358028516,0.006147243356228642,0.934022489196834,0.08939037375380014,0.742198205509535,0.07781253644731508,0.10082624415537629,0.9999999999999999,0.20634275701697422
E5x_cross_sim,0.18655792250454645,0.09558903785483805,0.013901961556402007,0.20142540882422275,0.0765003486531525,0.2013095558399561,0.11107914513951127,0.13276909150477884,0.20634275701697422,0.9999999999999999
